# Training PerovskitesMODNet_3n_b # Initial Number of Features: 1020
n_bottleneck_ratio|      n_bottleneck|        train_loss|          val_loss|       correlation|       cosine dist|               MAE|              RMSE|                R2|  RMSE zero-vector|
               0.9                918         0.00024663         0.00250364         0.00192904         0.00131352         0.00873332         0.05003868          0.9281699         0.34573519 
              0.85                867         0.00022456         0.00221129         0.00188367         0.00128328          0.0087451         0.04702439          0.9364527         0.34573519 
               0.8                815         0.00024403         0.00376415         0.00179435         0.00122558         0.00877377         0.06135268         0.89184454         0.34573519 
              0.75                764         0.00025325         0.00241938         0.00186554         0.00127704         0.00878384         0.04918719         0.93082411         0.34573519 
               0.7                713         0.00024613         0.00214594         0.00194997         0.00133378         0.00901697         0.04632428         0.93895109         0.34573519 
              0.65                662         0.00028146         0.00287116          0.0027532         0.00191613         0.01033568         0.05358318         0.91756208         0.34573519 
               0.6                611         0.00025325         0.00107924         0.00248985         0.00167206         0.00948224         0.03285179         0.96899657         0.34573519 
              0.55                560         0.00026716         0.00276444         0.00189406         0.00129223         0.00891069         0.05257797         0.92054621         0.34573519 
               0.5                509          0.0002935         0.00208429         0.00243749         0.00165862         0.00979811         0.04565477         0.94015383         0.34573519 
              0.45                458         0.00026862          0.0027203         0.00247581         0.00169655         0.00958947         0.05215672         0.92201796         0.34573519 
               0.4                407         0.00029507         0.00280747          0.0020595         0.00140266         0.00952536         0.05299018         0.91935566         0.34573519 
              0.35                356         0.00031741         0.00213861         0.00270576         0.00186174         0.01048164         0.04624902         0.93947944         0.34573519 
               0.3                305         0.00034453         0.00224129         0.00242622         0.00164963          0.0101744         0.04734155          0.9355879         0.34573519 
              0.25                254         0.00033939         0.00382751         0.00263977         0.00181249         0.01028386         0.06186734          0.8900751         0.34573519 
               0.2                203         0.00038733         0.00672916         0.00274807         0.00186263         0.01088669         0.08203188         0.81513812         0.34573519 
              0.15                152         0.00050108         0.01173668         0.00363307         0.00249406         0.01302549         0.10834733         0.66420695         0.34573519 
               0.1                101         0.00068382         0.00538166         0.00543187         0.00370482          0.0140894         0.07336058         0.84531826         0.34573519 
              0.05                 50         0.00116293         0.00818227         0.00721298         0.00500369         0.01656093         0.09045796         0.76481011         0.34573519 
